parent_area, processing_area, node_id, coc, vendor, qos, goodstype, flow, sellerLocationId, externalization, destinationHubId, mappedHubId, destinationTag, bagClosingTag, bagServiceType, fbeBin, bagLabelText
VStation2,Bin32,d13134d6-6830-4a86-98e5-91a29470f29f,BBI/NER,E,R,S,F,,,274988.0,274988.0,,EBBINER,ECONOMY,false,
VStation2,Bin32,d13134d6-6830-4a86-98e5-91a29470f29f,BBI/NER,E,,D,F,,,274988.0,274988.0,,EBBINER,ECONOMY,false,
VStation2,Bin32,d13134d6-6830-4a86-98e5-91a29470f29f,BBI/NER,E,,,R,,,274988.0,274988.0,,EBBINER,ECONOMY,false,
VStation2,Bin32,d13134d6-6830-4a86-98e5-91a29470f29f,BBI/NER,E,E,S,F,,,274988.0,274988.0,,EBBINER,ECONOMY,false,
VStation11,Bin8,953cfc30-25a5-4aa5-83ad-65fb4813f52e,RDP/ADL,E,R,S,F,,,101754.0,101754.0,,ERDPADL,ECONOMY,false,
VStation11,Bin8,953cfc30-25a5-4aa5-83ad-65fb4813f52e,RDP/ADL,E,E,S,F,,,101754.0,101754.0,,ERDPADL,ECONOMY,false,
VStation11,Bin8,953cfc30-25a5-4aa5-83ad-65fb4813f52e,RDP/ADL,E,,,R,,,101754.0,101754.0,,ERDPADL,ECONOMY,false,
VStation11,Bin8,953cfc30-25a5-4aa5-83ad-65fb4813f52e,RDP/ADL,E,,D,F,,,101754.0,101754.0,,ERDPADL,ECONOMY,false,
VStation8,Bin2,8be9f7fb-e9b2-4f09-84f9-2046828caa74,CCU/NKD,E,R,S,F,,,101639.0,101639.0,,ECCUNKD,ECONOMY,false,
VStation8,Bin2,8be9f7fb-e9b2-4f09-84f9-2046828caa74,CCU/NKD,E,E,S,F,,,101639.0,101639.0,,ECCUNKD,ECONOMY,false,
VStation8,Bin2,8be9f7fb-e9b2-4f09-84f9-2046828caa74,CCU/NKD,E,,D,F,,,101639.0,101639.0,,ECCUNKD,ECONOMY,false,
VStation8,Bin2,8be9f7fb-e9b2-4f09-84f9-2046828caa74,CCU/NKD,E,,,R,,,101639.0,101639.0,,ECCUNKD,ECONOMY,false,
VStation1,Bin17,8eba79b7-31e9-48a6-b509-07d30ba41912,MGR/RDX,E,E,S,F,,,81849.0,69838.0,1523,ECCUULB,ECONOMY,false,
VStation1,Bin17,8eba79b7-31e9-48a6-b509-07d30ba41912,MGR/RDX,E,,D,F,,,81849.0,69838.0,1523,ECCUULB,ECONOMY,false,
VStation1,Bin17,8eba79b7-31e9-48a6-b509-07d30ba41912,CCU/LKM,E,,,R,,,81849.0,69838.0,1523,ECCUULB,ECONOMY,false,
VStation1,Bin17,8eba79b7-31e9-48a6-b509-07d30ba41912,CCU/KLL,E,E,S,F,,,81849.0,69838.0,1523,ECCUULB,ECONOMY,false,
VStation1,Bin17,8eba79b7-31e9-48a6-b509-07d30ba41912,CCU/KLL,E,,D,F,,,81849.0,69838.0,1523,ECCUULB,ECONOMY,false,
VStation1,Bin17,8eba79b7-31e9-48a6-b509-07d30ba41912,CHT/XYZ,E,,D,F,,,81849.0,69838.0,1523,ECCUULB,ECONOMY,false,
